Control Code,Parent Control Code,Domain,Control Type,Description,SOC 2 Direct Mapping,SOC 2 Inherited Mapping,SOC 2 Effective Mapping,CIS IG1 Mapping,Suggested Evidence Examples,Evidence Keywords,Recommendation Template,Source
AC-05,,Access Control,Parent Control,Non-console access to production infrastructure is restricted to users with a unique SSH key or access key,"CC6.1, CC6.3, CC8.1",,"CC6.1, CC6.3, CC8.1",,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,console; production; infrastructure; restricted; unique,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-06-1-1,AC-06,Access Control,Child / Implementation Control,"The organization specifically prohibits and/or restricts the use of specified functions, ports, protocols, and/or services using least privilege.",,"CC6.2, PI1.5","CC6.2, PI1.5",CIS_IG1_4_4.6,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,specifically; prohibits; restricts; specified; functions; ports; protocols; services; least; privilege,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-07,,Access Control,Parent Control,Users are provisioned access to systems based on principle of least privilege.,"CC6.2, CC6.3",,"CC6.2, CC6.3",,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,provisioned; principle; least; privilege,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-08,,Access Control,Parent Control,"Upon termination or when internal personnel no longer require access, system access is removed, as applicable.","CC6.2, CC6.3",,"CC6.2, CC6.3",CIS_IG1_6_6.2,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,upon; termination; when; internal; longer; require; removed,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-08-4,AC-08,Access Control,Child / Implementation Control,Remove/disable inactive user accounts within 90 days.,,"CC6.2, CC6.3","CC6.2, CC6.3",CIS_IG1_5_5.3,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,remove; disable; inactive; accounts; within; days,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-08-7,AC-08,Access Control,Child / Implementation Control,Privileged access to systems and applications is disabled after 45 days of inactivity.,,"CC6.2, CC6.3","CC6.2, CC6.3",CIS_IG1_6_6.2,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,privileged; applications; disabled; after; days; inactivity,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-09,,Access Control,Parent Control,"System owners conduct scheduled user access reviews of production servers, databases, and applications to validate internal user access is commensurate with job responsibilities.","CC6.2, CC6.3",,"CC6.2, CC6.3",CIS_IG1_5_5.1,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,owners; conduct; scheduled; reviews; production; servers; databases; applications; validate; internal; commensurate; responsibilities,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-10-12,AC-10,Access Control,Child / Implementation Control,Database systems are encrypted at rest.,,"CC6.1, CC6.7, PI1.4, PI1.5","CC6.1, CC6.7, PI1.4, PI1.5",CIS_IG1_11_11.3,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,database; encrypted; rest,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AM-14-1,AM-14,Asset Management,Child / Implementation Control,Auto-run is disabled.,,,,CIS_IG1_10_10.3,Asset inventory export; Software inventory report; Asset owner review evidence; Endpoint or cloud asset discovery report,auto; disabled,Maintain a complete asset inventory with assigned ownership and evidence of at least annual review.,Secureframe-derived sanitized control export
AVA-01,,Availability / Backup & Recovery,Parent Control,System tools monitors for uptime and availability based on predetermined criteria.,"A1.1, A1.2",,"A1.1, A1.2",,Backup configuration; Backup job history; Restore test evidence; BCDR plan or tabletop record; Availability monitoring report,tools; monitors; uptime; availability; predetermined; criteria,"Maintain backup, availability, and recovery evidence, including monitoring, retention, and periodic restore or tabletop testing.",Secureframe-derived sanitized control export
AVA-02-1,AVA-02,Availability / Backup & Recovery,Child / Implementation Control,Utilize availability zones for high availability.,,"A1.1, A1.2","A1.1, A1.2",CIS_IG1_11_11.4,Backup configuration; Backup job history; Restore test evidence; BCDR plan or tabletop record; Availability monitoring report,utilize; availability; zones; high,"Maintain backup, availability, and recovery evidence, including monitoring, retention, and periodic restore or tabletop testing.",Secureframe-derived sanitized control export
AVA-03-2,AVA-03,Availability / Backup & Recovery,Child / Implementation Control,System audit logs are retained.,,"A1.2, PI1.5","A1.2, PI1.5",CIS_IG1_8_8.3,Backup configuration; Backup job history; Restore test evidence; BCDR plan or tabletop record; Availability monitoring report,audit; logs; retained,"Maintain backup, availability, and recovery evidence, including monitoring, retention, and periodic restore or tabletop testing.",Secureframe-derived sanitized control export
AVA-04,,Availability / Backup & Recovery,Parent Control,Business Continuity and Disaster Recovery Policy governs required processes for restoring the service or supporting infrastructure after suffering a disaster or disruption.,"A1.3, C1.1, CC5.3, CC7.4, CC9.1",,"A1.3, C1.1, CC5.3, CC7.4, CC9.1",CIS_IG1_11_11.1,Backup configuration; Backup job history; Restore test evidence; BCDR plan or tabletop record; Availability monitoring report,business; continuity; disaster; recovery; governs; required; processes; restoring; service; supporting; infrastructure; after; suffering; disruption,"Maintain backup, availability, and recovery evidence, including monitoring, retention, and periodic restore or tabletop testing.",Secureframe-derived sanitized control export
AVA-05,,Availability / Backup & Recovery,Parent Control,Backed-up data is restored to a non-production environment at least annually to validate the integrity of backups.,"A1.3, CC7.5, PI1.5",,"A1.3, CC7.5, PI1.5",,Backup configuration; Backup job history; Restore test evidence; BCDR plan or tabletop record; Availability monitoring report,backed; restored; production; environment; least; annually; validate; integrity; backups,"Maintain backup, availability, and recovery evidence, including monitoring, retention, and periodic restore or tabletop testing.",Secureframe-derived sanitized control export
C-01,,Confidentiality / Data Handling,Parent Control,Procedures are in place to retain customer data based on agreed-upon customer requirements or in line with information security policies.,"C1.1, C1.2",,"C1.1, C1.2",,Data classification policy; Data retention policy; Data disposal/deletion procedure; Customer data handling evidence,procedures; place; retain; customer; agreed; upon; requirements; line; information; security; policies,"Document data handling, classification, retention, deletion, and access procedures, and retain evidence of operating effectiveness.",Secureframe-derived sanitized control export
C-04,,Confidentiality / Data Handling,Parent Control,A Data Classification Policy details the security and handling protocols for sensitive data.,"C1.1, C1.2, CC5.3, PI1.1",,"C1.1, C1.2, CC5.3, PI1.1",CIS_IG1_3_3.2,Data classification policy; Data retention policy; Data disposal/deletion procedure; Customer data handling evidence,classification; details; security; handling; protocols; sensitive,"Document data handling, classification, retention, deletion, and access procedures, and retain evidence of operating effectiveness.",Secureframe-derived sanitized control export
C-05,,Confidentiality / Data Handling,Parent Control,A Data Retention and Disposal Policy specifies how customer data is to be retained and disposed of based on compliance requirements and contractual obligations.,"C1.1, C1.2, CC5.3, CC6.5, P4.2",,"C1.1, C1.2, CC5.3, CC6.5, P4.2","CIS_IG1_3_3.1, CIS_IG1_3_3.4, CIS_IG1_3_3.5",Data classification policy; Data retention policy; Data disposal/deletion procedure; Customer data handling evidence,retention; disposal; specifies; customer; retained; disposed; compliance; requirements; contractual; obligations,"Document data handling, classification, retention, deletion, and access procedures, and retain evidence of operating effectiveness.",Secureframe-derived sanitized control export
CM-01-1,CM-01,Change & Configuration Management,Child / Implementation Control,"A version control system is utilized to manage code development for baseline configurations and codebases for production infrastructure, systems, and applications.",,"CC6.8, CC7.1, CC8.1, PI1.3","CC6.8, CC7.1, CC8.1, PI1.3",CIS_IG1_4_4.6,Change management policy; Pull request or change approval samples; Deployment/testing evidence; Configuration baseline evidence,version; utilized; manage; code; development; baseline; configurations; codebases; production; infrastructure; applications,"Document change and configuration controls, retain approval/testing evidence, and maintain segregation between development and production.",Secureframe-derived sanitized control export
CM-02,,Change & Configuration Management,Parent Control,Software changes are tested prior to being deployed into production.,"CC6.8, CC8.1, PI1.3",,"CC6.8, CC8.1, PI1.3",,Change management policy; Pull request or change approval samples; Deployment/testing evidence; Configuration baseline evidence,software; changes; tested; prior; being; deployed; production,"Document change and configuration controls, retain approval/testing evidence, and maintain segregation between development and production.",Secureframe-derived sanitized control export
CM-03,,Change & Configuration Management,Parent Control,System changes are approved by at least 1 independent person prior to deployment into production.,"CC6.8, CC8.1, PI1.3",,"CC6.8, CC8.1, PI1.3",,Change management policy; Pull request or change approval samples; Deployment/testing evidence; Configuration baseline evidence,changes; approved; least; independent; person; prior; deployment; production,"Document change and configuration controls, retain approval/testing evidence, and maintain segregation between development and production.",Secureframe-derived sanitized control export
CM-04,,Change & Configuration Management,Parent Control,"Development, staging, and production environments are segregated.",CC8.1,,CC8.1,CIS_IG1_4_4.1,Change management policy; Pull request or change approval samples; Deployment/testing evidence; Configuration baseline evidence,development; staging; production; environments; segregated,"Document change and configuration controls, retain approval/testing evidence, and maintain segregation between development and production.",Secureframe-derived sanitized control export
CM-06,,Change & Configuration Management,Parent Control,A Configuration and Asset Management Policy governs configurations for new sensitive systems.,"CC5.3, CC6.1, CC6.8, CC7.1, CC8.1, PI1.3",,"CC5.3, CC6.1, CC6.8, CC7.1, CC8.1, PI1.3","CIS_IG1_4_4.1, CIS_IG1_4_4.2",Change management policy; Pull request or change approval samples; Deployment/testing evidence; Configuration baseline evidence,configuration; asset; management; governs; configurations; sensitive,"Document change and configuration controls, retain approval/testing evidence, and maintain segregation between development and production.",Secureframe-derived sanitized control export
CM-08,,Change & Configuration Management,Parent Control,A Secure Development Policy defines the requirements for secure software and system development and maintenance.,"CC5.2, CC5.3, CC8.1, PI1.3",,"CC5.2, CC5.3, CC8.1, PI1.3",,Change management policy; Pull request or change approval samples; Deployment/testing evidence; Configuration baseline evidence,secure; development; defines; requirements; software; maintenance,"Document change and configuration controls, retain approval/testing evidence, and maintain segregation between development and production.",Secureframe-derived sanitized control export
CM-09,,Change & Configuration Management,Parent Control,"System components are hardened according to industry guidance, vendor documentation, and/or business needs. Default configurations are avoided according to the principles of least privilege and least functionality.",,,,CIS_IG1_4_4.1,Change management policy; Pull request or change approval samples; Deployment/testing evidence; Configuration baseline evidence,components; hardened; according; industry; guidance; vendor; documentation; business; needs; default; configurations; avoided; principles; least; privilege; functionality,"Document change and configuration controls, retain approval/testing evidence, and maintain segregation between development and production.",Secureframe-derived sanitized control export
CM-09-2,CM-09,Change & Configuration Management,Child / Implementation Control,Baseline configurations in infrastructure systems are established and maintained throughout the respective system development life cycles.,,,,CIS_IG1_4_4.1,Change management policy; Pull request or change approval samples; Deployment/testing evidence; Configuration baseline evidence,baseline; configurations; infrastructure; established; throughout; respective; development; life; cycles,"Document change and configuration controls, retain approval/testing evidence, and maintain segregation between development and production.",Secureframe-derived sanitized control export
COM-01,,Communications,Parent Control,Descriptions of the company's services and systems are available to both internal personnel and external users.,"CC2.2, CC2.3",,"CC2.2, CC2.3",,External communication procedure; Published policy or terms; Security commitment communication; Incident/customer communication template,descriptions; company; services; available; both; internal; external,"Maintain documented internal and external communication channels, published commitments, and evidence of communication procedures.",Secureframe-derived sanitized control export
COM-02,,Communications,Parent Control,Security commitments and expectations are communicated to both internal personnel and external users via the company's website.,CC2.3,,CC2.3,,External communication procedure; Published policy or terms; Security commitment communication; Incident/customer communication template,security; commitments; expectations; communicated; both; internal; external; company; website,"Maintain documented internal and external communication channels, published commitments, and evidence of communication procedures.",Secureframe-derived sanitized control export
COM-03,,Communications,Parent Control,Terms of Service or the equivalent are published or shared to external users.,"CC2.3, P1.1, PI1.1",,"CC2.3, P1.1, PI1.1",,External communication procedure; Published policy or terms; Security commitment communication; Incident/customer communication template,terms; service; equivalent; published; shared; external,"Maintain documented internal and external communication channels, published commitments, and evidence of communication procedures.",Secureframe-derived sanitized control export
COM-04,,Communications,Parent Control,"Critical information is communicated to external parties, as applicable.","CC2.3, CC7.4, CC7.5, P6.6",,"CC2.3, CC7.4, CC7.5, P6.6",,External communication procedure; Published policy or terms; Security commitment communication; Incident/customer communication template,critical; information; communicated; external; parties,"Maintain documented internal and external communication channels, published commitments, and evidence of communication procedures.",Secureframe-derived sanitized control export
COM-05,,Communications,Parent Control,A confidential reporting channel is made available to internal personnel and external parties to report security and other identified concerns.,"CC2.2, CC2.3",,"CC2.2, CC2.3",,External communication procedure; Published policy or terms; Security commitment communication; Incident/customer communication template,confidential; reporting; channel; made; available; internal; external; parties; report; security; other; identified; concerns,"Maintain documented internal and external communication channels, published commitments, and evidence of communication procedures.",Secureframe-derived sanitized control export
COM-06,,Communications,Parent Control,A Privacy Policy is established to external users describing the company's privacy commitments.,"CC2.3, CC5.3, P1.1, P2.1, P3.1, P4.1, P7.1",,"CC2.3, CC5.3, P1.1, P2.1, P3.1, P4.1, P7.1",,External communication procedure; Published policy or terms; Security commitment communication; Incident/customer communication template,privacy; established; external; describing; company; commitments,"Maintain documented internal and external communication channels, published commitments, and evidence of communication procedures.",Secureframe-derived sanitized control export
CT-2,,Custom / Technical Baseline,Parent Control,Firewalls for cloud infrastructure,,,,,Technical control configuration screenshot; Cloud service configuration export; Infrastructure-as-code evidence; Operational monitoring evidence,firewalls; cloud; infrastructure,"Document the technical baseline control, retain configuration evidence, and map it to applicable SOC 2 criteria during review.",Secureframe-derived sanitized control export
CT-3,,Custom / Technical Baseline,Parent Control,Daily automatic datastore backup,,,,,Technical control configuration screenshot; Cloud service configuration export; Infrastructure-as-code evidence; Operational monitoring evidence,daily; automatic; datastore; backup,"Document the technical baseline control, retain configuration evidence, and map it to applicable SOC 2 criteria during review.",Secureframe-derived sanitized control export
CT-4,,Custom / Technical Baseline,Parent Control,Autoscaling,,,,,Technical control configuration screenshot; Cloud service configuration export; Infrastructure-as-code evidence; Operational monitoring evidence,autoscaling,"Document the technical baseline control, retain configuration evidence, and map it to applicable SOC 2 criteria during review.",Secureframe-derived sanitized control export
IR-01,,Incident Response,Parent Control,"An Incident Response Plan outlines the process of identifying, prioritizing, communicating, assigning and tracking confirmed incidents through to resolution.","CC2.2, CC5.3, CC7.3, CC7.4, CC7.5, CC9.1",,"CC2.2, CC5.3, CC7.3, CC7.4, CC7.5, CC9.1","CIS_IG1_17_17.1, CIS_IG1_17_17.2, CIS_IG1_17_17.3",Incident response plan; Incident ticket or register; Lessons learned record; Tabletop exercise evidence; On-call/escalation schedule,incident; response; plan; outlines; process; identifying; prioritizing; communicating; assigning; tracking; confirmed; incidents; through; resolution,"Maintain incident response procedures, tracking evidence, communication records, and post-incident or tabletop lessons learned.",Secureframe-derived sanitized control export
IR-01-7,IR-01,Incident Response,Child / Implementation Control,Designate specific personnel to be available on a 24/7 basis to respond to alerts.,,"CC2.2, CC5.3, CC7.3, CC7.4, CC7.5, CC9.1","CC2.2, CC5.3, CC7.3, CC7.4, CC7.5, CC9.1",CIS_IG1_17_17.1,Incident response plan; Incident ticket or register; Lessons learned record; Tabletop exercise evidence; On-call/escalation schedule,designate; specific; available; basis; respond; alerts,"Maintain incident response procedures, tracking evidence, communication records, and post-incident or tabletop lessons learned.",Secureframe-derived sanitized control export
IR-02,,Incident Response,Parent Control,"Identified incidents are documented, tracked, and analyzed according to the Incident Response Plan.","CC7.3, CC7.4, CC7.5, P6.3, P6.4, P6.5, P6.6",,"CC7.3, CC7.4, CC7.5, P6.3, P6.4, P6.5, P6.6",,Incident response plan; Incident ticket or register; Lessons learned record; Tabletop exercise evidence; On-call/escalation schedule,identified; incidents; documented; tracked; analyzed; according; incident; response; plan,"Maintain incident response procedures, tracking evidence, communication records, and post-incident or tabletop lessons learned.",Secureframe-derived sanitized control export
IR-04,,Incident Response,Parent Control,"The Incident Response Plan is periodically tested via tabletop exercises or equivalents. When necessary, Management makes changes to the Incident Response Plan based on the test results.","CC7.4, CC7.5",,"CC7.4, CC7.5",,Incident response plan; Incident ticket or register; Lessons learned record; Tabletop exercise evidence; On-call/escalation schedule,incident; response; plan; periodically; tested; tabletop; exercises; equivalents; when; necessary; management; makes; changes; test; results,"Maintain incident response procedures, tracking evidence, communication records, and post-incident or tabletop lessons learned.",Secureframe-derived sanitized control export
IR-06,,Incident Response,Parent Control,Contacts with relevant law enforcement and regulatory bodies are documented.,,,,CIS_IG1_17_17.2,Incident response plan; Incident ticket or register; Lessons learned record; Tabletop exercise evidence; On-call/escalation schedule,contacts; relevant; enforcement; regulatory; bodies; documented,"Maintain incident response procedures, tracking evidence, communication records, and post-incident or tabletop lessons learned.",Secureframe-derived sanitized control export
IR-07,,Incident Response,Parent Control,Incident Response Training is conducted on an annual basis.,,,,CIS_IG1_14_14.6,Incident response plan; Incident ticket or register; Lessons learned record; Tabletop exercise evidence; On-call/escalation schedule,incident; response; training; conducted; annual; basis,"Maintain incident response procedures, tracking evidence, communication records, and post-incident or tabletop lessons learned.",Secureframe-derived sanitized control export
NET-01-3,NET-01,Network & Endpoint Security,Child / Implementation Control,Screen lock is configured and monitored for user endpoints.,,"C1.1, CC6.1, CC6.7, CC6.8","C1.1, CC6.1, CC6.7, CC6.8",CIS_IG1_4_4.3,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,screen; lock; configured; monitored; endpoints,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-01-6,NET-01,Network & Endpoint Security,Child / Implementation Control,Deploy anti-virus software on all systems commonly affected by malicious software,,"C1.1, CC6.1, CC6.7, CC6.8","C1.1, CC6.1, CC6.7, CC6.8",CIS_IG1_10_10.1,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,deploy; anti; virus; software; commonly; affected; malicious,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-02-1,NET-02,Network & Endpoint Security,Child / Implementation Control,"Network boundary protection has been implemented to monitor, control, and protect traffic at managed network interfaces.",,"CC6.6, CC7.1, CC7.2","CC6.6, CC7.1, CC7.2",CIS_IG1_4_4.4,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,network; boundary; protection; been; implemented; monitor; protect; traffic; managed; interfaces,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-03,,Network & Endpoint Security,Parent Control,"Configurations ensure available networking ports, protocols, services, and environments are restricted as necessary, including firewalls.","CC6.1, CC6.6",,"CC6.1, CC6.6",,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,configurations; ensure; available; networking; ports; protocols; services; environments; restricted; necessary; including; firewalls,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-03-18,NET-03,Network & Endpoint Security,Child / Implementation Control,The organization limits the number of external network connections to the information system.,,"CC6.1, CC6.6","CC6.1, CC6.6",CIS_IG1_4_4.4,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,limits; number; external; network; connections; information,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-03-7-1,NET-03,Network & Endpoint Security,Child / Implementation Control,Restrict inbound and outbound traffic to only what is required.,,"CC6.1, CC6.6","CC6.1, CC6.6",CIS_IG1_4_4.4,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,restrict; inbound; outbound; traffic; only; what; required,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-04,,Network & Endpoint Security,Parent Control,"Logging and monitoring software is used to collect data from infrastructure to detect potential security threats, unusual system activity, and monitor system performance, as applicable.","CC7.1, CC7.2, PI1.5",,"CC7.1, CC7.2, PI1.5",,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,logging; monitoring; software; used; collect; infrastructure; detect; potential; security; threats; unusual; activity; monitor; performance,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-04-7,NET-04,Network & Endpoint Security,Child / Implementation Control,"System audit logs are tracked, monitored, and reviewed.",,"CC7.1, CC7.2, PI1.5","CC7.1, CC7.2, PI1.5","CIS_IG1_8_8.1, CIS_IG1_8_8.2",Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,audit; logs; tracked; monitored,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-05,,Network & Endpoint Security,Parent Control,Alerting software is used to notify impacted teams of potential security events.,"CC7.1, CC7.2",,"CC7.1, CC7.2",,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,alerting; software; used; notify; impacted; teams; potential; security; events,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-06,,Network & Endpoint Security,Parent Control,A Network Security Policy identifies the requirements for protecting information and systems within and across networks.,"CC2.2, CC5.3, CC6.6, CC7.2",,"CC2.2, CC5.3, CC6.6, CC7.2",,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,network; security; identifies; requirements; protecting; information; within; across; networks,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-11,,Network & Endpoint Security,Parent Control,An infrastructure architecture and network diagram is maintained.,"CC2.2, CC2.3",,"CC2.2, CC2.3",,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,infrastructure; architecture; network; diagram,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-13,,Network & Endpoint Security,Parent Control,Enable firewalls between all wireless networks and the internal environment.,,,,CIS_IG1_4_4.4,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,enable; firewalls; between; wireless; networks; internal; environment,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-16-10,NET-16,Network & Endpoint Security,Child / Implementation Control,Remove all vendor defaults from systems and applications prior to installation.,,,,CIS_IG1_4_4.7,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,remove; vendor; defaults; applications; prior; installation,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
NET-22,,Network & Endpoint Security,Parent Control,Spam protection mechanisms are implemented and updated accordingly to protect system entry and exit points.,,,,CIS_IG1_9_9.2,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,spam; protection; mechanisms; implemented; updated; accordingly; protect; entry; exit; points,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
